type,n,ratio,latent_ratio,alpha,baseline F1 score,SLOE F1 score,baseline time (s),SLOE time (s)
latent_non_gaussian,1000,0.1,0.9,1.1812142795804164,0.6796116504854369,0.6796116504854369,0.287001371383667,1.6460011005401611
heavy,1000,0.1,,1.2385766133515594,0.7253886010362693,0.7253886010362693,0.24399805068969727,1.8882355690002441
gaussian,3000,0.1,,1.1941361952587788,0.6912751677852349,0.6912751677852349,0.8600003719329834,2.2100372314453125
non_gaussian,3000,0.1,,1.146889616276029,0.4913494809688581,0.5113043478260869,1.015998363494873,2.703056812286377
latent_gaussian,3000,0.1,0.1,1.1914439952715212,0.6825396825396826,0.6825396825396826,1.0289978981018066,2.0870018005371094
latent_non_gaussian,3000,0.1,0.1,1.1929857239432782,0.7166666666666667,0.7166666666666667,0.9289994239807129,2.119105339050293
latent_gaussian,3000,0.1,0.5,1.1909743637829362,0.7163695299837927,0.7163695299837927,1.0060031414031982,2.049001932144165
latent_non_gaussian,3000,0.1,0.5,1.1866990144470597,0.6920731707317073,0.6920731707317073,1.5050022602081299,2.7470476627349854
latent_gaussian,3000,0.1,0.9,1.1959778411860658,0.6818923327895595,0.6818923327895595,1.2949979305267334,2.036613941192627
latent_non_gaussian,3000,0.1,0.9,1.1867523215670641,0.6631393298059964,0.6631393298059964,1.177999496459961,2.090040683746338
heavy,3000,0.1,,1.2575241800855013,0.7815699658703071,0.7815699658703071,1.7220005989074707,2.5010359287261963
gaussian,500,0.2,,1.6031437331524077,0.5777777777777777,0.5777777777777777,0.49399685859680176,2.1362967491149902
non_gaussian,500,0.2,,1.3767371314394048,0.47916666666666663,0.5052631578947369,0.2899971008300781,1.402003288269043
latent_gaussian,500,0.2,0.1,1.679349511016876,0.6521739130434783,0.6521739130434783,0.4700033664703369,2.4910526275634766
latent_non_gaussian,500,0.2,0.1,1.4117480169385332,0.5348837209302326,0.5348837209302326,0.25299954414367676,2.283560276031494
latent_gaussian,500,0.2,0.5,1.4953568826768358,0.7678571428571429,0.7678571428571429,0.22900152206420898,1.561141014099121
latent_non_gaussian,500,0.2,0.5,1.3767371149026268,0.5714285714285715,0.5714285714285715,0.298004150390625,1.5370135307312012
latent_gaussian,500,0.2,0.9,1.5571164961615438,0.7037037037037038,0.7037037037037038,0.316997766494751,1.5604569911956787
latent_non_gaussian,500,0.2,0.9,1.4953359406757611,0.631578947368421,0.631578947368421,0.40400147438049316,1.5749988555908203
heavy,500,0.2,,1.7719698614454238,0.7692307692307692,0.7692307692307692,0.4490020275115967,1.733196496963501
gaussian,1000,0.2,,1.6627540166913506,0.6461538461538461,0.6461538461538461,0.7229993343353271,1.8826143741607666
non_gaussian,1000,0.2,,1.3767371310427055,0.52,0.5482233502538072,0.786001443862915,1.513998031616211
latent_gaussian,1000,0.2,0.1,1.5588167188520972,0.7064676616915423,0.7064676616915423,0.642998218536377,1.7613856792449951
latent_non_gaussian,1000,0.2,0.1,1.5718425297131453,0.6802030456852792,0.6802030456852792,0.49400854110717773,1.532597303390503
latent_gaussian,1000,0.2,0.5,1.6757440307385547,0.7443946188340808,0.7443946188340808,0.6840009689331055,1.9189984798431396
latent_non_gaussian,1000,0.2,0.5,1.5264942504891008,0.6217616580310881,0.6217616580310881,0.850999116897583,1.8621954917907715
latent_gaussian,1000,0.2,0.9,1.5624123590751293,0.6570048309178744,0.6570048309178744,0.7829995155334473,1.733999490737915
latent_non_gaussian,1000,0.2,0.9,1.5968213238083289,0.7219512195121951,0.7219512195121951,1.209000587463379,1.964994192123413
heavy,1000,0.2,,1.8326837626069832,0.7157894736842104,0.7157894736842104,1.0019986629486084,2.038999319076538
gaussian,3000,0.2,,1.6455760184810502,0.6689075630252102,0.6689075630252102,2.5500073432922363,2.7703380584716797
non_gaussian,3000,0.2,,1.3767371307056173,0.5128205128205128,0.4952076677316294,2.6430015563964844,2.0340006351470947
latent_gaussian,3000,0.2,0.1,1.5800070444360406,0.6519524617996604,0.6519524617996604,2.3480002880096436,2.11099910736084
latent_non_gaussian,3000,0.2,0.1,1.5796499897940621,0.6948356807511737,0.6948356807511737,2.585007429122925,2.6110308170318604
latent_gaussian,3000,0.2,0.5,1.6081922956363537,0.6609294320137694,0.6609294320137694,2.8205316066741943,2.1881396770477295
latent_non_gaussian,3000,0.2,0.5,1.5337554505077533,0.7398496240601504,0.7376311844077961,2.536005735397339,2.5550012588500977
